"","year","Immature_female","Immature_male","Mature_female","Mature_male","Population"
"1",1989,0.0548724930768555,0.0246219136986286,0.0499026782029685,0.0177395302745638,0.0443961700409893
"2",1990,0.00793706822672256,0.0119398485518611,0.0261270099255638,0.0146008267516576,0.0114808342419566
"3",1991,0.0196711379925794,0.00815950863031742,0.00250280276467596,NA,0.00883916349804894
"4",1992,0.0402923144326562,0.00636985146351518,0.00344029047591086,NA,0.0145647543066696
"5",1993,0.030326240736624,0.00366262018241951,0.121126936063538,0.0452544909389759,0.0235506342696553
"6",1994,0.108316333652485,0.0306211818655164,0.131876341562676,0.0419439792222355,0.069446673748525
"7",1995,0.0645969679160456,0.0168516792269819,0.0278827449196132,NA,0.0289802185156967
"8",1996,0.135386515705534,0.0525524000165552,0.0364322899113181,NA,0.0513720718520964
"9",1997,0.051867100684141,0.0291540355810265,0.0148167231966291,0.0226172084864763,0.0160177697368981
"10",1998,0.128596561816002,0.0785441960745302,0.0269416627915038,0.0172421700720569,0.0464726442238959
"11",1999,0.0464907005916148,0.0178803432841067,0.0398887327329678,0.0401622658580209,0.0140207479375896
"12",2000,0.0601436746800208,0.0303835296317238,0.0257946935684116,0.0546728375775859,0.0166247579641996
"13",2001,0.0185321859550348,0.04584674260551,0.0224960327820347,0.0477362177402243,0.031572741566267
"14",2002,0.125815151018406,0.0404174533036201,0.0355620047312104,0.0372395573622612,0.0462086469437337
"15",2003,0.0629851783515389,0.0410647928493128,0.012954502961713,0.105982006964505,0.0614319686187403
"16",2004,0.00225937974803719,0.0397470256423517,0.00280837565125475,NA,0.0148523496673773
"17",2005,0.0357425141098646,0.0392851785412667,0.0593760192520294,0.0656192607799416,0.0350801688546409
"18",2006,0.00757170208294645,0.0365408658796308,NA,NA,0.014919874883994
"19",2007,0.00321662230815031,0.00549105038493855,0.013592081327228,0.0236899986330218,0.00633960220630398
"20",2008,0.0499535581255723,0.0103504654392617,0.00468766089690076,NA,0.0147963525337506
"21",2009,0.0477210700762782,0.0127612807105806,0.0139243527021647,0.0380429458460506,0.0209635408619855
"22",2010,0.0404504441176661,0.060806209409234,0.129541276188829,0.0392990914056158,0.0583337831236812
"23",2011,0.172274569294141,0.0704684945553092,0.0437617854706873,0.0244190041049603,0.0849497009335718
"24",2012,0.0400234263147052,0.0148389300717499,0.0138156808809094,NA,0.0137033479824787
"25",2013,0.00412927219479371,0.0217608829722236,0.0115198228211607,NA,0.0101340675115563
"26",2014,0.00856232548142448,0.0165324373352092,0.00684781039092438,0.0186175691088688,0.0111845639972768
"27",2015,0.0881399661033174,0.0252686815375504,0.0144028041807572,0.0498638264439535,0.0621171273520131
"28",2016,0.0789125997601057,0.117346630317089,0.0226903235640997,0.10303829459567,0.147341154758865
"29",2017,0.0456036708499209,0.0515182321817691,0.0369795421780217,0.0600334096144233,0.0736723013991184
"30",2018,0.0394187325945255,0.038913132361966,0.0362421450810029,0.0449923314467017,0.0481380990287256
"31",2019,0.078324819428947,0.0320093527271353,0.0203392498319479,0.0333677284373125,0.0313354881056283
"32",2021,NA,0.0381298159719796,NA,0.0740753319428622,0.013499473869425
