year,sub_6domain,peak_mean,peak_sd,number_obs
2003,north_middle,128.3030303,17.87389131,66
2003,south_middle,108.875,26.19650393,56
2004,north_middle,126.3285714,13.107937,70
2004,south_middle,128.6666667,16.855464,51
2005,north_middle,134.8032787,12.70802853,61
2005,south_middle,122.6666667,16.22672692,51
2006,north_middle,144.1034483,9.333376545,58
2006,south_middle,144.744186,13.99845744,43
2007,north_middle,135.2363636,9.626282765,55
2007,south_middle,126.9583333,22.81395295,24
2008,north_middle,146.9827586,12.75888597,58
2008,south_middle,135.3571429,16.44328231,42
2009,north_middle,144.5909091,11.87006824,44
2009,south_middle,134.6666667,11.29306572,21
2010,north_middle,140.8253968,8.801648824,63
2010,south_middle,126.1041667,13.67283311,48
2011,north_middle,137.7580645,9.242960075,62
2011,south_middle,131.7727273,15.9998018,44
2012,north_middle,146.8846154,11.01986414,52
2012,south_middle,133.7352941,11.95524184,34
2013,north_middle,144.7966102,11.1923306,59
2013,south_middle,130.9230769,12.12976594,52
2014,north_middle,133.1538462,17.10221246,52
2014,south_middle,125.8490566,11.47471506,53
2015,north_middle,131.7454545,13.6344039,55
2015,south_middle,141.1315789,12.48603772,38
2016,north_middle,131.2295082,16.29968654,61
2016,south_middle,135.18,15.58739679,50
2017,north_middle,128.969697,6.695508706,66
2017,south_middle,110.8157895,15.67724339,38
2018,north_middle,141.1818182,25.47028984,66
2018,south_middle,152.7818182,13.25210103,55
2019,north_middle,126.8363636,33.14042157,55
2019,south_middle,127.5892857,16.56038733,56
2020,north_middle,139.625,15.00105816,64
2020,south_middle,129.4285714,13.45140363,56
2021,north_middle,140.09375,11.55761104,64
2021,south_middle,141.5471698,12.62410094,53
