year,sub_6domain,bloom_type,count
2003,north_middle,ice_free,12
2003,north_middle,ice_full,54
2003,north_middle,NA,3
2003,south_middle,ice_free,40
2003,south_middle,ice_full,16
2004,north_middle,ice_free,7
2004,north_middle,ice_full,63
2004,north_middle,NA,1
2004,south_middle,ice_free,41
2004,south_middle,ice_full,10
2005,north_middle,ice_free,1
2005,north_middle,ice_full,60
2005,north_middle,NA,6
2005,south_middle,ice_free,43
2005,south_middle,ice_full,8
2006,north_middle,ice_free,1
2006,north_middle,ice_full,57
2006,north_middle,NA,8
2006,south_middle,ice_free,32
2006,south_middle,ice_full,11
2007,north_middle,ice_free,2
2007,north_middle,ice_full,53
2007,north_middle,NA,14
2007,south_middle,ice_free,15
2007,south_middle,ice_full,9
2007,south_middle,NA,4
2008,north_middle,ice_free,4
2008,north_middle,ice_full,54
2008,north_middle,NA,12
2008,south_middle,ice_free,19
2008,south_middle,ice_full,23
2008,south_middle,NA,1
2009,north_middle,ice_free,2
2009,north_middle,ice_full,42
2009,north_middle,NA,20
2009,south_middle,ice_free,11
2009,south_middle,ice_full,10
2010,north_middle,ice_free,3
2010,north_middle,ice_full,60
2010,north_middle,NA,8
2010,south_middle,ice_free,10
2010,south_middle,ice_full,38
2010,south_middle,NA,1
2011,north_middle,ice_free,3
2011,north_middle,ice_full,59
2011,north_middle,NA,2
2011,south_middle,ice_free,26
2011,south_middle,ice_full,18
2012,north_middle,ice_free,4
2012,north_middle,ice_full,48
2012,north_middle,NA,19
2012,south_middle,ice_free,7
2012,south_middle,ice_full,27
2012,south_middle,NA,8
2013,north_middle,ice_free,3
2013,north_middle,ice_full,56
2013,north_middle,NA,6
2013,south_middle,ice_free,23
2013,south_middle,ice_full,29
2013,south_middle,NA,2
2014,north_middle,ice_free,13
2014,north_middle,ice_full,39
2014,north_middle,NA,8
2014,south_middle,ice_free,46
2014,south_middle,ice_full,7
2015,north_middle,ice_free,3
2015,north_middle,ice_full,52
2015,north_middle,NA,1
2015,south_middle,ice_free,37
2015,south_middle,ice_full,1
2016,north_middle,ice_free,9
2016,north_middle,ice_full,52
2016,north_middle,NA,1
2016,south_middle,ice_free,49
2016,south_middle,ice_full,1
2017,north_middle,ice_free,12
2017,north_middle,ice_full,54
2017,north_middle,NA,1
2017,south_middle,ice_free,18
2017,south_middle,ice_full,20
2018,north_middle,ice_free,55
2018,north_middle,ice_full,11
2018,south_middle,ice_free,55
2019,north_middle,ice_free,25
2019,north_middle,ice_full,30
2019,south_middle,ice_free,56
2020,north_middle,ice_free,13
2020,north_middle,ice_full,51
2020,north_middle,NA,6
2020,south_middle,ice_free,51
2020,south_middle,ice_full,5
2021,north_middle,ice_free,4
2021,north_middle,ice_full,60
2021,north_middle,NA,1
2021,south_middle,ice_free,53
