"","YEAR","med_cod_CPUE","med_arctic_CPUE"
"1",1982,1.94057549225224,1.80574973547911
"2",1983,1.96162355612669,1.95382204796494
"3",1984,1.85225413398686,1.95975698443229
"4",1985,2.01706472635294,1.85401940733682
"5",1986,2.04639198187129,1.73477301270929
"6",1987,2.0547899520131,1.74831330649102
"7",1988,1.81349121856911,1.78503385667821
"8",1989,1.92591714800545,1.77502512792013
"9",1990,1.73999090836718,1.82166503503652
"10",1991,1.70324454941564,1.83190080118284
"11",1992,1.55603469692931,1.74770013494025
"12",1993,1.74017279284516,1.84335965628114
"13",1994,2.02209672146095,1.91736606468582
"14",1995,1.81094645785553,1.81675700217815
"15",1996,1.89648390982695,1.80487910098129
"16",1997,1.69250090189917,1.83569010923004
"17",1998,1.68439880173206,1.70605851875099
"18",1999,1.67154038051585,1.6099770912765
"19",2000,1.69523169957974,1.64918418457931
"20",2001,1.84997622454388,1.68778366443213
"21",2002,1.74668300103727,1.58646545019135
"22",2003,1.79740953673681,1.54512822936968
"23",2004,1.82926291738185,1.61025314338497
"24",2005,1.86323202140099,1.66870147058181
"25",2006,1.96865190476941,1.66607508510265
"26",2007,1.6821420393568,1.58911675540747
"27",2008,1.75759610683146,1.59826990093537
"28",2009,1.53797764434434,1.33251476340066
"29",2010,1.64555147317799,1.52418616654731
"30",2011,1.82000025876786,1.53989446898874
"31",2012,1.67998198059769,1.55253105324534
"32",2013,1.82933784797153,1.51610900735779
"33",2014,1.86145196593864,1.63584679224162
"34",2015,1.98823089812092,1.60828503524314
"35",2016,2.07129903953076,1.70327487528947
"36",2017,1.82641062519927,1.71122014798052
"37",2018,1.71259593243185,1.73791982223728
"38",2019,1.83554580392677,1.63450031694903
"39",2021,1.87364004706364,1.52386866361463
