"","YEAR","ABUNDANCE"
"1",1980,3465594565.31509
"2",1981,1692461357.9565
"3",1982,1800931422.62905
"4",1983,1726471923.04429
"5",1984,1775501719.18415
"6",1985,657594183.405646
"7",1986,1985191509.14997
"8",1987,6714041875.01732
"9",1988,4723636591.36515
"10",1989,3675702423.06096
"11",1990,3307801601.42609
"12",1991,5602564525.53351
"13",1992,4638320314.37652
"14",1993,7714779521.3646
"15",1994,6801021166.91731
"16",1995,4656952943.41021
"17",1996,2568231918.69486
"18",1997,1347279771.4736
"19",1998,1114157905.49642
"20",1999,610051718.353865
"21",2000,1362984011.56851
"22",2001,2000298419.0745
"23",2002,717411058.557104
"24",2003,1616104460.7965
"25",2004,2867064993.09293
"26",2005,3402481336.31895
"27",2006,1898380367.53937
"28",2007,1881226384.80686
"29",2008,1404772111.80143
"30",2009,2115268760.90221
"31",2010,5488124945.78581
"32",2011,3005184077.73642
"33",2012,2550325666.68828
"34",2013,2085305340.19562
"35",2014,3118598827.44145
"36",2015,2965217603.7495
"37",2016,4493538679.6475
"38",2017,6036509223.22348
"39",2018,8361760275.86885
"40",2019,2135334424.92312
"41",2021,276226529.638836
"42",2022,1506385039.87691
