"year","log_abundance","LCI","UCI","group"
2010,2.50533935820159,2.22190930515327,2.78876941124991,"Pseudocalanus"
2007,2.45415469626487,2.19356787811069,2.71474151441904,"Pseudocalanus"
2008,2.63850548631577,2.37247707639859,2.90453389623295,"Pseudocalanus"
2009,2.63327969583269,2.41272671552017,2.8538326761452,"Pseudocalanus"
2011,2.25434744413799,2.0032200659319,2.50547482234408,"Pseudocalanus"
2012,2.23314623170293,2.07917543074021,2.38711703266565,"Pseudocalanus"
1999,2.26886973758352,2.02968199306137,2.50805748210567,"Pseudocalanus"
2006,2.67214159320429,2.47037543242739,2.8739077539812,"Pseudocalanus"
1998,2.06680624255556,1.76938145943518,2.36423102567595,"Pseudocalanus"
2002,2.71493951080393,2.36878890943744,3.06109011217042,"Pseudocalanus"
2003,0.729178162766774,0.409748305668187,1.04860801986536,"Pseudocalanus"
2004,3.5600712414301,3.08025458223129,4.03988790062891,"Pseudocalanus"
2005,3.04711091748144,2.83882067255441,3.25540116240847,"Pseudocalanus"
1994,2.60281619482492,1.25899779508722,3.94663459456263,"Pseudocalanus"
2000,2.26387307430769,1.93231194185851,2.59543420675686,"Pseudocalanus"
1996,3.84066630984364,3.18255599169598,4.4987766279913,"Pseudocalanus"
1997,2.56908383953866,2.2466768472747,2.89149083180261,"Pseudocalanus"
1995,2.13045599772709,1.81254720579608,2.4483647896581,"Pseudocalanus"
2013,2.81104890609643,2.52157936445286,3.10051844774,"Pseudocalanus"
2014,3.42407813845198,3.27599051520354,3.57216576170041,"Pseudocalanus"
2015,3.66050279913955,3.3750295348884,3.9459760633907,"Pseudocalanus"
2016,3.63105359677584,3.46876418865161,3.79334300490008,"Pseudocalanus"
2017,3.02597728523289,2.72212123897444,3.32983333149135,"Pseudocalanus"
2018,3.66401371288458,3.51724200339692,3.81078542237224,"Pseudocalanus"
2019,3.49155112322144,3.21734821697109,3.7657540294718,"Pseudocalanus"
2021,3.3139292382742,3.04390557707005,3.58395289947835,"Pseudocalanus"
2010,1.70955142168203,1.43535179174092,1.98375105162314,"Calanus glacialis"
2007,0.807436754077639,0.535569291722403,1.07930421643288,"Calanus glacialis"
2008,1.30081746403858,1.04543413991701,1.55620078816015,"Calanus glacialis"
2009,1.50132139460369,1.19922743668134,1.80341535252604,"Calanus glacialis"
2011,1.31403518326374,1.08633837838306,1.54173198814442,"Calanus glacialis"
2012,1.5805160305538,1.41576332350176,1.74526873760585,"Calanus glacialis"
1999,0.956258995224484,0.677922932648807,1.23459505780016,"Calanus glacialis"
2006,0.575416250524025,0.341028957617007,0.809803543431044,"Calanus glacialis"
2004,1.23294616324207,0.740357952908292,1.72553437357585,"Calanus glacialis"
2005,1.21433063388235,0.930596446357938,1.49806482140676,"Calanus glacialis"
1998,1.72732191315073,1.35293450378859,2.10170932251288,"Calanus glacialis"
2003,1.4841439246558,0.998088043782319,1.97019980552927,"Calanus glacialis"
2000,1.77107062665322,1.48230709459328,2.05983415871317,"Calanus glacialis"
1996,1.12550065062978,0.611402044611225,1.63959925664834,"Calanus glacialis"
1997,0.898736334775871,0.584539434145763,1.21293323540598,"Calanus glacialis"
1995,1.96252322680688,1.543349065904,2.38169738770975,"Calanus glacialis"
2013,1.49564124403904,1.22635138621242,1.76493110186565,"Calanus glacialis"
2014,2.43437903685326,2.26993155776923,2.59882651593729,"Calanus glacialis"
2015,1.63679893080564,1.35800576602343,1.91559209558785,"Calanus glacialis"
2016,1.53690641284223,1.3650011632663,1.70881166241815,"Calanus glacialis"
2017,0.916175140840299,0.612142200236037,1.22020808144456,"Calanus glacialis"
2018,1.55209329518886,1.39892633501676,1.70526025536097,"Calanus glacialis"
2019,1.07999707191149,0.798332507061015,1.36166163676196,"Calanus glacialis"
