"t","estimate","conf.low","conf.high"
1972,-1.34367115884911,-2.20804644053081,-0.479295877167397
1973,-1.35509852458468,-2.16976494980304,-0.540432099366318
1974,-1.38987915618981,-2.1990131638258,-0.580745148553818
1975,-2.00399508574664,-2.64989905356309,-1.35809111793019
1976,-2.01269901504132,-2.65650799230664,-1.368890037776
1977,-0.638896569005032,-1.28268167382571,0.00488853581564785
1978,0.470321302824724,-0.17346353028195,1.1141061359314
1979,1.41708565287348,0.773300834199285,2.06087047154767
1980,0.446426861097211,-0.197356960480361,1.09021068267478
1981,0.824359889562993,0.180663717824817,1.46805606130117
1982,0.77626065928993,0.140316293806537,1.41220502477332
1983,0.119888149340659,-0.515971683558169,0.755747982239487
1984,-0.683153221319431,-1.31901213798289,-0.0472943046559735
1985,-0.0827800978105877,-0.718639004500459,0.553078808879284
1986,-0.0392497831194875,-0.675108685704116,0.596609119465141
1987,0.785231753239044,0.149373219503954,1.42109028697413
1988,-0.316626412975128,-0.952450913249252,0.319198087298995
1989,1.1155016829105,0.482825225891055,1.74817813992994
1990,-0.336458884925819,-0.969101809610128,0.296184039758491
1991,-0.664894708105957,-1.29753726702111,-0.0322521491908003
1992,-1.29737637380768,-1.93001803691345,-0.664734710701904
1993,-0.0375735439180214,-0.670131246605354,0.594984158769311
1994,-0.778295809222179,-1.40290088379737,-0.153690734646989
1995,-1.10646705456184,-1.73096628051728,-0.481967828606391
1996,0.85109802930529,0.226599872418951,1.47559618619163
1997,-0.11774145691316,-0.742239603085365,0.506756689259045
1998,-0.0416835657212772,-0.666181719958063,0.582814588515508
1999,-0.589583921856464,-1.21408288543078,0.0349150417178535
2000,0.041429613812109,-0.583149484050316,0.666008711674533
2001,0.975002620965081,0.342539022507499,1.60746621942266
2002,0.538183332871877,-0.0855607649499609,1.16192743069372
2003,0.735913606755416,0.203228549525831,1.268598663985
2004,0.755060849276687,0.222907398664499,1.28721429988887
2005,0.939887499925572,0.407736908486418,1.47203809136473
2006,-0.20208610720103,-0.734236683270192,0.330064468868131
2007,-1.01794186964009,-1.55009244562663,-0.485791293653552
2008,-1.46644616372403,-1.99859673971013,-0.934295587737925
2009,-1.51857651029774,-2.0507270862856,-0.98642593430987
2010,-1.87657747487261,-2.40872805118849,-1.34442689855673
2011,-0.266064209338361,-0.798214846672779,0.266086427996057
2012,-1.95830874592152,-2.49047073402071,-1.42614675782233
2013,-1.22036815432295,-1.75463745730314,-0.686098851342766
2014,0.677783495001821,0.145621506558622,1.20994548344502
2015,1.03523363859377,0.503082937267621,1.56738433991991
2016,1.6323494623381,1.10018698218896,2.16451194248725
2017,0.295480005117651,-0.238880400885884,0.829840411121187
2018,2.25178263208021,1.70312724353479,2.80043802062563
2019,2.30507578453676,1.75345850538729,2.85669306368623
2020,1.45199378658767,0.8171802749333,2.08680729824203
2021,1.42093336643779,0.847978494023376,1.99388823885221
